Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8258426966292135,0.8135593220338984,0.7058823529411765,0.7559055118110236,0.8648395721925133
Decision Tree,0.7471910112359551,0.7346938775510204,0.5294117647058824,0.6153846153846154,0.8258689839572192
Random Forest,0.797752808988764,0.7580645161290323,0.6911764705882353,0.7230769230769231,0.8155748663101604
